Place,Entry Name,First Name, Last Name,Position,Winnings,Score to Par,FedEx Points,Autopicked?
1,AustinAb,Cameron,Young,1,3600000,-19,700,FALSE
1,BALL_IS_LIFE,Cameron,Young,1,3600000,-19,700,FALSE
1,BIRKSBADBOYZ,Cameron,Young,1,3600000,-19,700,FALSE
1,Hershiness,Cameron,Young,1,3600000,-19,700,FALSE
1,KATT MUCHAR,Cameron,Young,1,3600000,-19,700,FALSE
1,larrymahomes,Cameron,Young,1,3600000,-19,700,FALSE
1,Texastank,Cameron,Young,1,3600000,-19,700,FALSE
8,JBSOUTHERLAND,Scottie,Scheffler,2,2160000,-13,400,FALSE
8,Therealjasondufner,Scottie,Scheffler,2,2160000,-13,400,FALSE
10,You Only LIV Twice,Ben,Griffin,3,1360000,-12,350,FALSE
11,SEAGULL,Si Woo,Kim,4,826667,-11,300,FALSE
12,RISCHCO,Alex,Noren,7,645000,-10,213,FALSE
13,TSWANY05,Rickie,Fowler,9,500000,-9,137,FALSE
14,STUMPCAT,J.J.,Spaun,14,350000,-8,85,FALSE
15,TCRAWFORD,Akshay,Bhatia,23,167143,-6,40,FALSE
16,BENHAILE,Christopher,Gotterup,38,72182,-4,18,FALSE
16,BIG T,Sam,Burns,38,72182,-4,18,FALSE
16,CCRICHARDS83,Sam,Burns,38,72182,-4,18,FALSE
16,J BROTHERS,Christopher,Gotterup,38,72182,-4,18,FALSE
16,KONRADE,Viktor,Hovland,38,72182,-4,18,FALSE
16,MPRICE21,Christopher,Gotterup,38,72182,-4,18,FALSE
16,PALACEJ,Sam,Burns,38,72182,-4,18,FALSE
16,RYAN4371,Christopher,Gotterup,38,72182,-4,18,FALSE
16,SWITZ AND GIGGLES,Viktor,Hovland,38,72182,-4,18,FALSE
25,Lane Boy,Russell,Henley,49,48500,-3,13,FALSE
26,D_PRICE,Hideki,Matsuyama,53,46000,-2,11,FALSE
26,DILLY DILLY,Hideki,Matsuyama,53,46000,-2,11,FALSE
26,KENBAER,Hideki,Matsuyama,53,46000,-2,11,FALSE
26,THIS FOOL RIGHT HERE,Hideki,Matsuyama,53,46000,-2,11,FALSE
30,ADAHMER,Collin,Morikawa,62,41500,1,8,FALSE
30,JBSMOOVE,Collin,Morikawa,62,41500,1,8,FALSE
32,FRUSCH,Justin,Rose,65,39083,2,6,FALSE
